,acousticness,album,artist,available_markets,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track,track_number,valence,y,featuring,remix,with,radio_edit,ost,link,Peak_Pos,WoC
0,0.612,Way Down We Go,Kaleo,61,0.59,219560,0.578,0.000162,10,0.0837,-5.797999999999999,0,0.0528,81.663,4,Way Down We Go,2,0.264,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Way%20Down%20We%20Go/,96,01
1,0.581,Shape of You,Ed Sheeran,62,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,Shape of You,4,0.9309999999999999,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Shape%20of%20You/,01,59
2,0.0735,Galway Girl,Ed Sheeran,62,0.624,170827,0.8759999999999999,0.0,9,0.327,-3.3739999999999997,1,0.1,99.943,4,Galway Girl,6,0.7809999999999999,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Galway%20Girl/,02,31
3,0.11900000000000001,It Ain't Me (with Selena Gomez),Kygo,61,0.64,220781,0.5329999999999999,0.0,0,0.0864,-6.596,1,0.0706,99.96799999999999,4,It Ain't Me (with Selena Gomez),1,0.5,1,False,False,True,False,False,http://www.officialcharts.com/search/singles/It%20Ain't%20Me/,07,24
4,0.0232,Castle on the Hill,Ed Sheeran,62,0.461,261154,0.8340000000000001,1.1400000000000001e-05,2,0.14,-4.868,1,0.0989,135.007,4,Castle on the Hill,2,0.47100000000000003,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Castle%20on%20the%20Hill/,02,53
5,0.0498,Something Just Like This,Chainsmokers,62,0.617,247160,0.635,1.4400000000000001e-05,11,0.16399999999999998,-6.769,0,0.0317,103.01899999999999,4,Something Just Like This,5,0.436,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Something%20Just%20Like%20This/,02,45
6,0.0631,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,59,0.735,245200,0.451,1.3000000000000001e-05,0,0.325,-8.374,1,0.0585,117.973,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",1,0.0854,1,False,False,False,False,True,http://www.officialcharts.com/search/singles/I%20Don’t%20Wanna%20Live%20Forever/,0,0
7,0.163,Perfect,Ed Sheeran,62,0.599,263400,0.44799999999999995,0.0,8,0.106,-6.312,1,0.0232,95.05,3,Perfect,5,0.168,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Perfect/,01,41
8,0.209,Despacito (Featuring Daddy Yankee),Luis Fonsi,59,0.66,228200,0.7859999999999999,0.0,2,0.11199999999999999,-4.757,1,0.17,177.833,4,Despacito (Featuring Daddy Yankee),1,0.8490000000000001,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Despacito/,01,45
9,0.0215,Paris,Chainsmokers,62,0.653,221507,0.6579999999999999,1.66e-06,2,0.0939,-6.428,1,0.0304,99.99,4,Paris,8,0.212,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Paris/,05,24
10,0.536,Happier,Ed Sheeran,62,0.522,207520,0.385,0.0,0,0.135,-7.355,1,0.0288,89.792,4,Happier,7,0.23600000000000002,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Happier/,06,16
11,0.355,Dive,Ed Sheeran,62,0.7609999999999999,238440,0.386,0.0,4,0.0953,-6.1579999999999995,1,0.0399,134.94299999999998,3,Dive,3,0.526,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Dive/,08,13
