,acousticness,album,artist,available_markets,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track,track_number,valence,y,featuring,remix,with,radio_edit,ost,link,Peak_Pos,WoC
0,0.000907,Craving You,Thomas Rhett,0,0.612,227373,0.841,0.0,9,0.37,-3.795,0,0.0353,104.986,4,Craving You,1,0.502,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Craving%20You/,0,0
1,0.0148,Mi Gente,J Balvin,44,0.5429999999999999,189440,0.677,6.21e-06,11,0.13,-4.915,0,0.0993,103.809,4,Mi Gente,1,0.27899999999999997,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Mi%20Gente/,05,27
2,0.22899999999999998,Despacito - Remix,Luis Fonsi,59,0.6940000000000001,228827,0.815,0.0,2,0.0924,-4.328,1,0.12,88.931,4,Despacito - Remix,1,0.826,1,False,True,False,False,False,http://www.officialcharts.com/search/singles/Despacito%20-%20Remix/,0,0
3,0.0329,Wild Thoughts,DJ Khaled,61,0.6709999999999999,204173,0.672,0.0,0,0.11800000000000001,-3.094,0,0.0688,97.98,4,Wild Thoughts,3,0.636,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Wild%20Thoughts/,01,25
4,0.0293,Unforgettable,French Montana,62,0.726,233902,0.769,0.0101,6,0.10400000000000001,-5.043,1,0.12300000000000001,97.985,4,Unforgettable,2,0.75,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Unforgettable/,02,45
5,0.0642,Feels,Calvin Harris,62,0.893,223413,0.745,0.0,11,0.0943,-3.105,0,0.0571,101.01799999999999,4,Feels,8,0.8740000000000001,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Feels/,0,0
6,0.21899999999999997,2U (feat. Justin Bieber),David Guetta,59,0.5479999999999999,194897,0.65,0.0,8,0.225,-5.827000000000001,0,0.0591,144.937,4,2U (feat. Justin Bieber),1,0.557,1,True,False,False,False,False,http://www.officialcharts.com/search/singles/2U/,05,16
7,0.0552,I'm the One,DJ Khaled,61,0.609,288600,0.6679999999999999,0.0,7,0.16699999999999998,-4.284,1,0.0367,80.92399999999999,4,I'm the One,4,0.8,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/I'm%20the%20One/,01,23
8,0.0969,Attention,Charlie Puth,62,0.774,211475,0.626,3.12e-05,3,0.0848,-4.4319999999999995,0,0.0432,100.041,4,Attention,1,0.758,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Attention/,09,31
9,0.581,Shape of You,Ed Sheeran,62,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,Shape of You,4,0.9309999999999999,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Shape%20of%20You/,01,59
10,0.24600000000000002,Strip That Down,Liam Payne,59,0.8690000000000001,204502,0.485,0.0,6,0.0765,-5.595,1,0.0545,106.02799999999999,4,Strip That Down,1,0.542,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Strip%20That%20Down/,03,25
11,0.00683,Thunder,Imagine Dragons,59,0.6,187147,0.81,0.21,0,0.155,-4.749,1,0.0479,167.88,4,Thunder,9,0.252,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Thunder/,20,27
12,0.11,Mama,Jonas Blue,3,0.746,181615,0.7929999999999999,0.0,11,0.0528,-4.209,0,0.0412,104.027,4,Mama,1,0.552,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Mama/,04,31
13,0.0252,Sorry Not Sorry,Demi Lovato,0,0.701,203760,0.638,0.0,11,0.256,-6.888999999999999,0,0.23800000000000002,144.084,4,Sorry Not Sorry,1,0.867,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Sorry%20Not%20Sorry/,09,25
14,0.00274,New Rules,Dua Lipa,57,0.7559999999999999,209333,0.682,8.85e-06,9,0.147,-6.577000000000001,0,0.0753,116.008,4,New Rules,10,0.589,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/New%20Rules/,01,33
15,0.034,More Than You Know,Axwell /\ Ingrosso,1,0.644,203000,0.743,0.0,5,0.257,-5.002,0,0.0355,123.074,4,More Than You Know,1,0.532,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/More%20Than%20You%20Know/,0,0
16,0.00264,XO TOUR Llif3,Lil Uzi Vert,62,0.732,182707,0.75,0.0,11,0.109,-6.3660000000000005,0,0.231,155.096,4,XO TOUR Llif3,1,0.392,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/XO%20TOUR%20Llif3/,25,39
17,0.381,There's Nothing Holdin' Me Back,Shawn Mendes,59,0.857,199440,0.8,0.0,2,0.0913,-4.035,1,0.0583,121.99600000000001,4,There's Nothing Holdin' Me Back,1,0.965,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/There's%20Nothing%20Holdin'%20Me%20Back/,04,32
18,0.207,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,62,0.6829999999999999,190428,0.53,0.0,5,0.39399999999999996,-4.918,0,0.142,75.016,4,Back to You (feat. Bebe Rexha & Digital Farm Animals),1,0.632,1,True,False,False,False,False,http://www.officialcharts.com/search/singles/Back%20to%20You/,0,0
19,0.0204,Fetish (feat. Gucci Mane),Selena Gomez,59,0.708,186113,0.61,4.45e-06,2,0.0641,-4.522,1,0.0574,123.038,4,Fetish (feat. Gucci Mane),1,0.29600000000000004,1,True,False,False,False,False,http://www.officialcharts.com/search/singles/Fetish/,33,08
20,0.000259,HUMBLE.,Kendrick Lamar,3,0.904,177000,0.611,2.0300000000000002e-05,1,0.0976,-6.8420000000000005,0,0.0888,150.02,4,HUMBLE.,8,0.42700000000000005,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/HUMBLE./,06,26
21,0.0323,Glorious (feat. Skylar Grey),Macklemore,0,0.731,220454,0.794,2.59e-05,0,0.11199999999999999,-5.126,0,0.0522,139.994,4,Glorious (feat. Skylar Grey),1,0.35,1,True,False,False,False,False,http://www.officialcharts.com/search/singles/Glorious/,23,16
22,0.0231,Me Rehúso,Danny Ocean,62,0.7440000000000001,205715,0.804,0.0,1,0.0494,-6.327000000000001,1,0.0677,104.823,4,Me Reh?so,1,0.456,1,False,False,False,False,False,http://www.officialcharts.com/search/singles/Me%20Reh?so/,0,0
